"State...1","County","Average Income","Percent_COPD","Male 18-44","Male 45-64","Male 65+","Female 18-44","Female 45-64","Female 65+","Poverty","Encoded_Poverty","Unemployed","State...22","Area_Name","Male_Total","Female_Total","AQI","Average_Income","Income_Level","Unemployed_Level"
"Alabama","Hale",41204,8.9,6,10.3,15.1,7.1,11.6,16.4,3221,"Low",628,"AL","Hale County, AL",31.4,35.1,52.978881371,41204,"Medium","Low"
"Alabama","Henry",47555,7.9,6,10.3,15.1,7.1,11.6,16.4,2694,"Low",369,"AL","Henry County, AL",31.4,35.1,52.978881371,47555,"Medium","Low"
"Alabama","Houston",47325,7.7,6,10.3,15.1,7.1,11.6,16.4,20210,"Medium",2787,"AL","Houston County, AL",31.4,35.1,52.978881371,47325,"Medium","High"
"Alabama","Jackson",38905,8.8,6,10.3,15.1,7.1,11.6,16.4,9851,"Low",1346,"AL","Jackson County, AL",31.4,35.1,52.978881371,38905,"Medium","Moderate"
"Alabama","Jefferson",58074,6.1,6,10.3,15.1,7.1,11.6,16.4,110131,"High",21661,"AL","Jefferson County, AL",31.4,35.1,56.484015367,58074,"Medium","Very High"
"Alabama","Lamar",36793,8.6,6,10.3,15.1,7.1,11.6,16.4,2300,"Low",309,"AL","Lamar County, AL",31.4,35.1,52.978881371,36793,"Medium","Low"
"Alabama","Lauderdale",42199,7.3,6,10.3,15.1,7.1,11.6,16.4,14838,"Medium",2590,"AL","Lauderdale County, AL",31.4,35.1,52.978881371,42199,"Medium","High"
"Alabama","Lawrence",36917,8.6,6,10.3,15.1,7.1,11.6,16.4,4566,"Low",782,"AL","Lawrence County, AL",31.4,35.1,52.978881371,36917,"Medium","Moderate"
"Alabama","Lee",41326,6.7,6,10.3,15.1,7.1,11.6,16.4,30989,"Medium",4386,"AL","Lee County, AL",31.4,35.1,52.978881371,41326,"Medium","High"
"Alabama","Limestone",47831,6.7,6,10.3,15.1,7.1,11.6,16.4,10363,"Medium",2137,"AL","Limestone County, AL",31.4,35.1,52.978881371,47831,"Medium","Moderate"
"Alabama","Lowndes",42209,8.9,6,10.3,15.1,7.1,11.6,16.4,2786,"Low",535,"AL","Lowndes County, AL",31.4,35.1,52.978881371,42209,"Medium","Low"
"Alabama","Macon",34772,7.7,6,10.3,15.1,7.1,11.6,16.4,4725,"Low",848,"AL","Macon County, AL",31.4,35.1,52.978881371,34772,"Medium","Moderate"
"Alabama","Madison",56265,5.6,6,10.3,15.1,7.1,11.6,16.4,39316,"Medium",9631,"AL","Madison County, AL",31.4,35.1,53.108147506,56265,"Medium","Very High"
"Alabama","Marengo",43790,8.4,6,10.3,15.1,7.1,11.6,16.4,4602,"Low",537,"AL","Marengo County, AL",31.4,35.1,52.978881371,43790,"Medium","Low"
"Alabama","Marion",37100,9,6,10.3,15.1,7.1,11.6,16.4,5209,"Low",736,"AL","Marion County, AL",31.4,35.1,52.978881371,37100,"Medium","Low"
"Alabama","Marshall",41147,8,6,10.3,15.1,7.1,11.6,16.4,15145,"Medium",2056,"AL","Marshall County, AL",31.4,35.1,52.978881371,41147,"Medium","Moderate"
"Alabama","Mobile",42416,7.6,6,10.3,15.1,7.1,11.6,16.4,74061,"High",16698,"AL","Mobile County, AL",31.4,35.1,52.927381986,42416,"Medium","Very High"
"Alabama","Monroe",38727,9.2,6,10.3,15.1,7.1,11.6,16.4,4349,"Low",673,"AL","Monroe County, AL",31.4,35.1,52.978881371,38727,"Medium","Low"
"Alabama","Montgomery",46116,6.8,6,10.3,15.1,7.1,11.6,16.4,47309,"Medium",9165,"AL","Montgomery County, AL",31.4,35.1,49.147075959,46116,"Medium","Very High"
"Alabama","Morgan",42823,7.7,6,10.3,15.1,7.1,11.6,16.4,16459,"Medium",2927,"AL","Morgan County, AL",31.4,35.1,52.008744749,42823,"Medium","High"
"Alabama","Perry",37701,10.5,6,10.3,15.1,7.1,11.6,16.4,2591,"Low",409,"AL","Perry County, AL",31.4,35.1,52.978881371,37701,"Medium","Low"
"Alabama","Pickens",39331,8.7,6,10.3,15.1,7.1,11.6,16.4,3591,"Low",553,"AL","Pickens County, AL",31.4,35.1,52.978881371,39331,"Medium","Low"
"Alabama","Pike",40936,7.8,6,10.3,15.1,7.1,11.6,16.4,7429,"Low",852,"AL","Pike County, AL",31.4,35.1,52.978881371,40936,"Medium","Moderate"
"Alabama","Randolph",36506,8.2,6,10.3,15.1,7.1,11.6,16.4,4652,"Low",501,"AL","Randolph County, AL",31.4,35.1,52.978881371,36506,"Medium","Low"
"Alabama","Russell",35834,7.9,6,10.3,15.1,7.1,11.6,16.4,12620,"Medium",1354,"AL","Russell County, AL",31.4,35.1,53.513342606,35834,"Medium","Moderate"
"Alabama","St. Clair",43432,7.3,6,10.3,15.1,7.1,11.6,16.4,11652,"Medium",2212,"AL","St. Clair County, AL",31.4,35.1,52.978881371,43432,"Medium","High"
"Alabama","Shelby",59313,5.2,6,10.3,15.1,7.1,11.6,16.4,17306,"Medium",4919,"AL","Shelby County, AL",31.4,35.1,54.262994205,59313,"Medium","High"
"Alabama","Sumter",35823,8.8,6,10.3,15.1,7.1,11.6,16.4,4005,"Low",365,"AL","Sumter County, AL",31.4,35.1,49.133293307,35823,"Medium","Low"
"Alabama","Talladega",37831,8.5,6,10.3,15.1,7.1,11.6,16.4,14936,"Medium",2798,"AL","Talladega County, AL",31.4,35.1,52.978881371,37831,"Medium","High"
"Alabama","Tallapoosa",44621,8.1,6,10.3,15.1,7.1,11.6,16.4,7420,"Low",1366,"AL","Tallapoosa County, AL",31.4,35.1,52.978881371,44621,"Medium","Moderate"
"Alabama","Tuscaloosa",39137,7,6,10.3,15.1,7.1,11.6,16.4,31735,"Medium",7466,"AL","Tuscaloosa County, AL",31.4,35.1,53.891718499,39137,"Medium","High"
"Alabama","Walker",42856,8.8,6,10.3,15.1,7.1,11.6,16.4,12877,"Medium",1606,"AL","Walker County, AL",31.4,35.1,52.978881371,42856,"Medium","Moderate"
"Alabama","Washington",40262,8.8,6,10.3,15.1,7.1,11.6,16.4,3091,"Low",594,"AL","Washington County, AL",31.4,35.1,52.978881371,40262,"Medium","Low"
"Alabama","Wilcox",35964,9.9,6,10.3,15.1,7.1,11.6,16.4,625,"Very Low",529,"AL","Wilcox County, AL",31.4,35.1,52.978881371,35964,"Medium","Low"
"Alabama","Winston",39386,9.4,6,10.3,15.1,7.1,11.6,16.4,505,"Very Low",485,NA,NA,31.4,35.1,52.978881371,39386,"Medium","Low"
"Alaska","Aleutians East Borough",39386,7,6,10.3,15.1,7.1,11.6,16.4,26920,"Medium",182,"AK","Aleutians East Borough, AK",31.4,35.1,52.978881371,39386,"Medium","Very Low"
"Alaska","Aleutians West Census Area",61898,7,6,10.3,15.1,7.1,11.6,16.4,4496,"Low",11624,"AK","Aleutians West Census Area, AK",31.4,35.1,52.978881371,61898,"High","Very High"
"Alaska","Anchorage Municipality",57010,7,6,10.3,15.1,7.1,11.6,16.4,93,"Very Low",860,"AK","Anchorage Borough/municipality, AK",31.4,35.1,52.978881371,57010,"Medium","Moderate"
"Alaska","Bethel Census Area",62591,7,6,10.3,15.1,7.1,11.6,16.4,530,"Very Low",31,"AK","Bethel Census Area, AK",31.4,35.1,52.978881371,62591,"High","Very Low"
"Alaska","Bristol Bay Borough",67764,7,6,10.3,15.1,7.1,11.6,16.4,375,"Very Low",283,"AK","Bristol Bay Borough, AK",31.4,35.1,52.978881371,67764,"High","Very Low"
"Alaska","Chugach Census Area",45709,7,6,10.3,15.1,7.1,11.6,16.4,115,"Very Low",139,"AK","Chugach Census Area, AK",31.4,35.1,52.978881371,45709,"Medium","Very Low"
"Alaska","Copper River Census Area",139499,7,6,10.3,15.1,7.1,11.6,16.4,1033,"Low",113,"AK","Copper River Census Area, AK",31.4,35.1,52.978881371,139499,"High","Very Low"
"Alaska","Denali Borough",61431,7,6,10.3,15.1,7.1,11.6,16.4,7247,"Low",152,"AK","Denali Borough, AK",31.4,35.1,52.978881371,61431,"High","Very Low"
"Alaska","Dillingham Census Area",49024,7,6,10.3,15.1,7.1,11.6,16.4,223,"Very Low",2997,"AK","Dillingham Census Area, AK",31.4,35.1,52.978881371,49024,"Medium","High"
"Alaska","Fairbanks North Star Borough",88560,7,6,10.3,15.1,7.1,11.6,16.4,395,"Very Low",168,"AK","Fairbanks North Star Borough, AK",31.4,35.1,52.978881371,88560,"High","Very Low"
"Alaska","Haines Borough",57520,7,6,10.3,15.1,7.1,11.6,16.4,2378,"Low",149,"AK","Haines Borough, AK",31.4,35.1,52.978881371,57520,"Medium","Very Low"
"Alaska","Hoonah-Angoon Census Area",60410,7,6,10.3,15.1,7.1,11.6,16.4,6729,"Low",1147,"AK","Hoonah-Angoon Census Area, AK",31.4,35.1,52.978881371,60410,"High","Moderate"
"Alaska","Juneau City and Borough",75823,7,6,10.3,15.1,7.1,11.6,16.4,1529,"Low",2550,"AK","Juneau Borough/city, AK",31.4,35.1,52.978881371,75823,"High","High"
"Alaska","Kenai Peninsula Borough",55325,7,6,10.3,15.1,7.1,11.6,16.4,1072,"Low",663,"AK","Kenai Peninsula Borough, AK",31.4,35.1,52.978881371,55325,"Medium","Low"
"Alaska","Ketchikan Gateway Borough",70659,7,6,10.3,15.1,7.1,11.6,16.4,2534,"Low",406,"AK","Ketchikan Gateway Borough, AK",31.4,35.1,52.978881371,70659,"High","Low"
"Alaska","Kodiak Island Borough",55838,7,6,10.3,15.1,7.1,11.6,16.4,290,"Very Low",476,"AK","Kodiak Island Borough, AK",31.4,35.1,52.978881371,55838,"Medium","Low"
"Alaska","Kusilvak Census Area",66142,7,6,10.3,15.1,7.1,11.6,16.4,11453,"Medium",70,"AK","Kusilvak Census Area, AK",31.4,35.1,52.978881371,66142,"High","Very Low"
"Alaska","Lake and Peninsula Borough",65458,7,6,10.3,15.1,7.1,11.6,16.4,1920,"Low",4244,"AK","Lake and Peninsula Borough, AK",31.4,35.1,52.978881371,65458,"High","High"
"Alaska","Matanuska-Susitna Borough",32643,7,6,10.3,15.1,7.1,11.6,16.4,1354,"Low",436,"AK","Matanuska-Susitna Borough, AK",31.4,35.1,52.978881371,32643,"Medium","Low"
"Alaska","Nome Census Area",58144,7,6,10.3,15.1,7.1,11.6,16.4,1560,"Low",195,"AK","Nome Census Area, AK",31.4,35.1,52.978881371,58144,"Medium","Very Low"
"Alaska","North Slope Borough",52717,7,6,10.3,15.1,7.1,11.6,16.4,269,"Very Low",375,"AK","North Slope Borough, AK",31.4,35.1,52.978881371,52717,"Medium","Low"
"Alaska","Northwest Arctic Borough",53918,7,6,10.3,15.1,7.1,11.6,16.4,859,"Very Low",131,"AK","Northwest Arctic Borough, AK",31.4,35.1,52.978881371,53918,"Medium","Very Low"
"Alaska","Petersburg Borough",76256,7,6,10.3,15.1,7.1,11.6,16.4,717,"Very Low",279,"AK","Petersburg Borough, AK",31.4,35.1,52.978881371,76256,"High","Very Low"
"Alaska","Prince of Wales-Hyder Census Area",49121,7,6,10.3,15.1,7.1,11.6,16.4,69,"Very Low",NA,"AK","Prince of Wales-Hyder Census Area, AK",31.4,35.1,52.978881371,49121,"Medium",NA
"Alaska","Sitka City and Borough",68829,7,6,10.3,15.1,7.1,11.6,16.4,890,"Very Low",301,"AK","Prince of Wales-Outer Ketchikan Census Area, AK",31.4,35.1,52.978881371,68829,"High","Low"
"Alaska","Skagway Municipality",51546,7,6,10.3,15.1,7.1,11.6,16.4,18422,"Medium",139,"AK","Sitka Borough/city, AK",31.4,35.1,52.978881371,51546,"Medium","Very Low"
"Alaska","Southeast Fairbanks Census Area",67848,7,6,10.3,15.1,7.1,11.6,16.4,20618,"Medium",NA,"AK","Skagway Municipality, AK",31.4,35.1,52.978881371,67848,"High",NA
"Alaska","Wrangell City and Borough",57961,7,6,10.3,15.1,7.1,11.6,16.4,22677,"Medium",229,"AK","Skagway-Hoonah-Angoon Census Area, AK",31.4,35.1,52.978881371,57961,"Medium","Very Low"
"Alaska","Yakutat City and Borough",53262,7,6,10.3,15.1,7.1,11.6,16.4,8900,"Low",NA,"AK","Southeast Fairbanks Census Area, AK",31.4,35.1,52.978881371,53262,"Medium",NA
"Alaska","Yukon-Koyukuk Census Area",56521,7,6,10.3,15.1,7.1,11.6,16.4,7385,"Low",88,"AK","Valdez-Cordova Census Area, AK",31.4,35.1,52.978881371,56521,"Medium","Very Low"
"Arizona","Apache",58753,10.4,6,10.3,15.1,7.1,11.6,16.4,886,"Very Low",3482,"AZ","Apache County, AZ",31.4,35.1,51.78063514,58753,"Medium","High"
"Arizona","Cochise",58074,6.2,6,10.3,15.1,7.1,11.6,16.4,3303,"Low",6946,"AZ","Cochise County, AZ",31.4,35.1,63.032126576,58074,"Medium","High"
"Arizona","Coconino",42192,6.4,6,10.3,15.1,7.1,11.6,16.4,38383,"Medium",1550,"AZ","Coconino County, AZ",31.4,35.1,63.324474581,42192,"Medium","Moderate"
"Arizona","Gila",46835,7.3,6,10.3,15.1,7.1,11.6,16.4,26324,"Medium",965,"AZ","Gila County, AZ",31.4,35.1,60.261120449,46835,"Medium","Moderate"
"Arizona","Graham",52890,7,6,10.3,15.1,7.1,11.6,16.4,151169,"High",230,"AZ","Graham County, AZ",31.4,35.1,63.32324521,52890,"Medium","Very Low"
"Arizona","Greenlee",44992,5.2,6,10.3,15.1,7.1,11.6,16.4,2923,"Low",618,"AZ","Greenlee County, AZ",31.4,35.1,63.32324521,44992,"Medium","Low"
"Arizona","La Paz",35930,7.3,6,10.3,15.1,7.1,11.6,16.4,3950,"Low",165722,"AZ","La Paz County, AZ",31.4,35.1,50.6397841,35930,"Medium","Very High"
"Arizona","Maricopa",43210,5.4,6,10.3,15.1,7.1,11.6,16.4,5565,"Low",8528,"AZ","Maricopa County, AZ",31.4,35.1,71.83316551,43210,"Medium","Very High"
"Arizona","Mohave",46218,7.4,6,10.3,15.1,7.1,11.6,16.4,22890,"Medium",3943,"AZ","Mohave County, AZ",31.4,35.1,58.95256308,46218,"Medium","High"
"Arizona","Navajo",56024,8.9,6,10.3,15.1,7.1,11.6,16.4,4860,"Low",36665,"AZ","Navajo County, AZ",31.4,35.1,53.444020076,56024,"Medium","Very High"
"Arizona","Pima",40229,5.6,6,10.3,15.1,7.1,11.6,16.4,2011,"Low",13936,"AZ","Pima County, AZ",31.4,35.1,56.62183295,40229,"Medium","Very High"
"Arizona","Pinal",38620,6.3,6,10.3,15.1,7.1,11.6,16.4,672,"Very Low",2140,"AZ","Pinal County, AZ",31.4,35.1,71.445372799,38620,"Medium","Moderate"
"Arizona","Santa Cruz",49601,5.8,6,10.3,15.1,7.1,11.6,16.4,4717,"Low",7661,"AZ","Santa Cruz County, AZ",31.4,35.1,70.314251909,49601,"Medium","Very High"
"Arizona","Yavapai",41546,6.4,6,10.3,15.1,7.1,11.6,16.4,2594,"Low",16324,"AZ","Yavapai County, AZ",31.4,35.1,63.320158956,41546,"Medium","Very High"
"Arizona","Yuma",43176,6.4,6,10.3,15.1,7.1,11.6,16.4,3699,"Low",14762,NA,NA,31.4,35.1,88.232681636,43176,"Medium","Very High"
"Arkansas","Arkansas",46954,7.8,6,10.3,15.1,7.1,11.6,16.4,2543,"Low",676,"AR","Arkansas County, AR",31.4,35.1,44.14479283,46954,"Medium","Low"
"Arkansas","Ashley",42177,9.4,6,10.3,15.1,7.1,11.6,16.4,4109,"Low",999,"AR","Ashley County, AR",31.4,35.1,44.30804333,42177,"Medium","Moderate"
"Arkansas","Baxter",52013,8.4,6,10.3,15.1,7.1,11.6,16.4,1054,"Low",6385,"AR","Baxter County, AR",31.4,35.1,44.279257151,52013,"Medium","High"
"Arkansas","Benton",39850,6.1,6,10.3,15.1,7.1,11.6,16.4,4777,"Low",843,"AR","Benton County, AR",31.4,35.1,44.279257151,39850,"Medium","Moderate"
"Arkansas","Boone",41064,7.9,6,10.3,15.1,7.1,11.6,16.4,3494,"Low",259,"AR","Boone County, AR",31.4,35.1,44.279257151,41064,"Medium","Very Low"
"Arkansas","Bradley",83178,8.4,6,10.3,15.1,7.1,11.6,16.4,19674,"Medium",127,"AR","Bradley County, AR",31.4,35.1,44.279257151,83178,"High","Very Low"
"Arkansas","Calhoun",38572,7.4,6,10.3,15.1,7.1,11.6,16.4,8790,"Low",727,"AR","Calhoun County, AR",31.4,35.1,44.279257151,38572,"Medium","Low"
"Arkansas","Carroll",43164,7.5,6,10.3,15.1,7.1,11.6,16.4,10706,"Medium",339,"AR","Carroll County, AR",31.4,35.1,44.279257151,43164,"Medium","Low"
"Arkansas","Chicot",42539,9.9,6,10.3,15.1,7.1,11.6,16.4,2738,"Low",556,"AR","Chicot County, AR",31.4,35.1,44.279257151,42539,"Medium","Low"
"Arkansas","Clark",34908,7.6,6,10.3,15.1,7.1,11.6,16.4,1213,"Low",339,"AR","Clark County, AR",31.4,35.1,44.277020401,34908,"Medium","Low"
"Arkansas","Clay",44391,9.2,6,10.3,15.1,7.1,11.6,16.4,3032,"Low",705,"AR","Clay County, AR",31.4,35.1,44.279257151,44391,"Medium","Low"
"Arkansas","Cleburne",41644,8.3,6,10.3,15.1,7.1,11.6,16.4,2715,"Low",198,"AR","Cleburne County, AR",31.4,35.1,44.279257151,41644,"Medium","Very Low"
"Arkansas","Cleveland",39407,8.2,6,10.3,15.1,7.1,11.6,16.4,16486,"Medium",625,"AR","Cleveland County, AR",31.4,35.1,44.279257151,39407,"Medium","Low"
"Arkansas","Columbia",45100,8.4,6,10.3,15.1,7.1,11.6,16.4,2908,"Low",513,"AR","Columbia County, AR",31.4,35.1,44.279257151,45100,"Medium","Low"
"Arkansas","Conway",42243,8.6,6,10.3,15.1,7.1,11.6,16.4,2157,"Low",3032,"AR","Conway County, AR",31.4,35.1,44.279257151,42243,"Medium","High"
"Arkansas","Craighead",41393,7.4,6,10.3,15.1,7.1,11.6,16.4,14319,"Medium",1459,"AR","Craighead County, AR",31.4,35.1,44.279257151,41393,"Medium","Moderate"
"Arkansas","Crawford",41962,8.3,6,10.3,15.1,7.1,11.6,16.4,2017,"Low",1781,"AR","Crawford County, AR",31.4,35.1,44.279257151,41962,"Medium","Moderate"
"Arkansas","Crittenden",42319,8.2,6,10.3,15.1,7.1,11.6,16.4,5898,"Low",447,"AR","Crittenden County, AR",31.4,35.1,46.37961708,42319,"Medium","Low"
"Arkansas","Cross",38448,8.8,6,10.3,15.1,7.1,11.6,16.4,4125,"Low",153,"AR","Cross County, AR",31.4,35.1,44.279257151,38448,"Medium","Very Low"
"Arkansas","Dallas",41433,7.8,6,10.3,15.1,7.1,11.6,16.4,5521,"Low",376,"AR","Dallas County, AR",31.4,35.1,44.279257151,41433,"Medium","Low"
"Arkansas","Desha",40176,9.7,6,10.3,15.1,7.1,11.6,16.4,2245,"Low",539,"AR","Desha County, AR",31.4,35.1,44.279257151,40176,"Medium","Low"
"Arkansas","Drew",43720,8.3,6,10.3,15.1,7.1,11.6,16.4,6924,"Low",3416,"AR","Drew County, AR",31.4,35.1,44.279257151,43720,"Medium","High"
"Arkansas","Faulkner",44694,6.9,6,10.3,15.1,7.1,11.6,16.4,2384,"Low",426,"AR","Faulkner County, AR",31.4,35.1,44.279257151,44694,"Medium","Low"
"Arkansas","Franklin",42835,9.8,6,10.3,15.1,7.1,11.6,16.4,3316,"Low",256,"AR","Franklin County, AR",31.4,35.1,44.279257151,42835,"Medium","Very Low"
"Arkansas","Fulton",44624,10.2,6,10.3,15.1,7.1,11.6,16.4,12258,"Medium",3341,"AR","Fulton County, AR",31.4,35.1,44.279257151,44624,"Medium","High"
"Arkansas","Garland",35810,7.4,6,10.3,15.1,7.1,11.6,16.4,4570,"Low",434,"AR","Garland County, AR",31.4,35.1,43.92196483,35810,"Medium","Low"
"Arkansas","Grant",32534,7.4,6,10.3,15.1,7.1,11.6,16.4,1448,"Low",1180,"AR","Grant County, AR",31.4,35.1,44.279257151,32534,"Medium","Moderate"
"Arkansas","Greene",45130,8.3,6,10.3,15.1,7.1,11.6,16.4,3193,"Low",506,"AR","Greene County, AR",31.4,35.1,44.279257151,45130,"Medium","Low"
"Arkansas","Hempstead",43066,8.3,6,10.3,15.1,7.1,11.6,16.4,2448,"Low",825,"AR","Hempstead County, AR",31.4,35.1,44.279257151,43066,"Medium","Moderate"
"Arkansas","Hot Spring",38993,8.3,6,10.3,15.1,7.1,11.6,16.4,2160,"Low",282,"AR","Hot Spring County, AR",31.4,35.1,44.279257151,38993,"Medium","Very Low"
"Arkansas","Howard",35619,8.2,6,10.3,15.1,7.1,11.6,16.4,1854,"Low",973,"AR","Howard County, AR",31.4,35.1,44.279257151,35619,"Medium","Moderate"
"Arkansas","Independence",34928,8.2,6,10.3,15.1,7.1,11.6,16.4,3204,"Low",397,"AR","Independence County, AR",31.4,35.1,44.279257151,34928,"Medium","Low"
"Arkansas","Izard",36069,8.9,6,10.3,15.1,7.1,11.6,16.4,8161,"Low",426,"AR","Izard County, AR",31.4,35.1,44.279257151,36069,"Medium","Low"
"Arkansas","Jackson",38571,9.5,6,10.3,15.1,7.1,11.6,16.4,2587,"Low",2225,"AR","Jackson County, AR",31.4,35.1,44.22629033,38571,"Medium","High"
"Arkansas","Jefferson",32854,7.7,6,10.3,15.1,7.1,11.6,16.4,2986,"Low",646,"AR","Jefferson County, AR",31.4,35.1,44.279257151,32854,"Medium","Low"
"Arkansas","Johnson",42060,9.3,6,10.3,15.1,7.1,11.6,16.4,8483,"Low",187,"AR","Johnson County, AR",31.4,35.1,44.279257151,42060,"Medium","Very Low"
"Arkansas","Lafayette",38360,10,6,10.3,15.1,7.1,11.6,16.4,9276,"Low",423,"AR","Lafayette County, AR",31.4,35.1,44.279257151,38360,"Medium","Low"
"Arkansas","Lawrence",31868,9.1,6,10.3,15.1,7.1,11.6,16.4,1667,"Low",212,"AR","Lawrence County, AR",31.4,35.1,44.279257151,31868,"Medium","Very Low"
